Age,City_Tier,Education,Sector,Marital_Status,Dependents,Income,Rent,Groceries,Transport,Healthcare,Entertainment,Loan_Repayment,Savings_Goal,Potential_Savings
26,2,HS,Retail,Single,4,29504.16,2538.06,3842.73,1462.56,920.6,1485.04,0.0,2288.1,19255.17
62,3,PhD,Finance,Married,1,56416.19,9962.19,7020.94,2022.34,902.1,6688.75,0.0,5820.88,29819.88
55,1,HS,Retail,Married,2,37643.33,3091.88,4252.49,1644.41,225.04,1187.22,0.0,6646.27,27242.28
48,1,PhD,IT,Married,0,105876.62,20420.29,5749.19,6841.41,2447.79,4102.49,0.0,16047.33,66315.46
37,3,Bachelor,Finance,Married,2,42141.61,8982.93,5425.46,2722.2,2049.02,1997.56,0.0,5475.27,20964.45
57,1,Bachelor,Gov,Single,1,37848.38,9709.8,2711.6,2506.9,2009.79,2158.22,1205.97,2916.87,17546.09
44,3,HS,Healthcare,Married,1,28658.45,4292.08,2964.23,1256.6,200.0,2108.47,0.0,5354.19,17837.07
39,2,Master,Manufacturing,Married,0,47947.89,8038.55,6979.88,2359.09,1174.82,1772.47,0.0,9204.12,27623.07
39,2,Master,Retail,Married,1,31075.17,8063.04,2448.68,1982.76,1676.43,2306.69,3081.53,4883.47,11516.02
28,3,Bachelor,Manufacturing,Married,0,21904.7,5455.7,2765.63,1653.07,1225.22,866.54,0.0,3217.71,9938.54
22,3,Bachelor,IT,Single,0,37178.76,7492.73,3494.18,2257.93,1226.29,2326.1,0.0,2583.57,20381.53
44,1,Bachelor,Manufacturing,Married,1,39865.43,3128.75,2139.54,846.17,,4859.47,0.0,3321.11,28120.74
60,3,HS,Gov,Single,0,32625.82,7104.68,4080.57,3253.33,1321.57,920.27,0.0,6753.94,15945.4
21,3,PhD,Finance,Single,0,56369.23,13077.07,5196.54,3629.67,925.79,1149.81,0.0,4511.27,32390.34
59,3,HS,IT,Married,0,43680.41,9894.81,3640.29,2277.46,1771.31,464.78,0.0,5209.43,25631.77
57,2,Bachelor,Retail,Single,1,35857.26,4339.42,4533.25,1449.59,2275.41,0.0,6048.12,4566.33,17211.47
31,2,Bachelor,Manufacturing,Married,0,34811.66,,3836.97,3829.05,2086.0,423.68,0.0,4110.94,19391.06
48,2,Master,Manufacturing,Married,4,46216.07,12558.94,3658.48,3235.21,783.02,3207.53,0.0,5476.29,22772.9
25,1,Bachelor,Manufacturing,Married,3,27900.52,8749.1,1598.44,2438.44,947.84,1336.39,3098.56,6548.54,9731.75
54,2,Bachelor,Gov,Single,0,39702.91,10695.79,3774.39,1986.58,2782.96,1222.05,0.0,2704.93,19241.14
51,2,HS,Finance,Single,1,46675.92,8856.95,4181.61,2449.1,2728.5,3380.8,0.0,4022.87,25078.96
35,2,,Finance,Married,1,35716.0,7126.13,3594.07,1305.35,440.24,0.0,284.25,8538.53,22965.96
21,2,HS,Healthcare,Single,0,19697.23,3154.97,2178.92,1665.6,974.27,1749.13,0.0,2677.41,9974.34
64,2,PhD,Manufacturing,Married,1,72456.87,17960.23,9323.3,7043.7,2307.36,3369.39,6234.89,5949.91,26217.99
39,2,HS,IT,Single,1,37396.63,10909.25,4837.05,786.06,932.63,1583.28,4916.06,4039.82,13432.3
60,2,PhD,Healthcare,Single,0,67026.2,17848.4,12991.91,3402.92,4680.33,5104.88,0.0,10072.55,22997.76
50,3,HS,Healthcare,Single,0,23557.87,6066.21,2626.18,2255.78,1742.72,737.59,0.0,1922.24,10129.4
55,3,Master,Healthcare,Single,0,55870.5,9824.11,3967.87,2632.27,493.68,2784.85,3070.37,4638.31,33097.36
54,1,Bachelor,Manufacturing,Married,2,51834.15,10464.08,5433.6,2511.6,3001.74,2653.34,0.0,52.79,27769.8
27,1,Master,Finance,Married,1,46938.58,8920.73,4086.66,3139.32,4006.34,3301.38,0.0,7576.51,23484.15
35,2,Bachelor,Manufacturing,Married,0,36457.38,9794.1,2486.01,3228.43,2080.95,5112.37,3842.18,4218.01,9913.34
40,2,Master,Retail,Married,1,44244.17,9801.74,3888.21,3105.89,235.93,2293.62,3581.43,4263.85,21337.35
41,3,Bachelor,Healthcare,Married,1,37424.84,10411.5,6215.65,2351.16,1742.31,4138.69,1695.49,2732.26,10870.03
20,1,HS,Manufacturing,Single,1,23691.97,5779.51,2169.67,2450.76,818.04,879.76,0.0,2947.05,11594.23
44,1,Master,Healthcare,Married,0,49125.31,8261.64,6915.38,2667.17,360.39,1147.03,0.0,5188.28,29773.69
25,2,Bachelor,Manufacturing,Single,1,24161.26,3135.11,3175.89,936.96,944.18,2875.07,0.0,4464.34,13094.05
53,3,HS,Retail,Married,2,27052.73,9143.8,2962.26,1642.57,513.82,1129.98,0.0,4531.31,11660.31
50,3,HS,Retail,Married,1,20159.51,3922.32,2646.15,1076.24,910.91,1296.63,1540.9,2634.65,8766.36
62,3,Bachelor,IT,Married,0,63833.65,14476.34,7280.74,3318.64,3124.2,3196.0,0.0,11590.1,32437.74
53,2,Master,IT,Single,0,69200.17,22464.9,4323.5,4359.55,1212.64,3070.83,755.99,15640.33,33012.75
35,3,Master,IT,Single,0,53853.64,13485.86,6258.4,3870.29,2668.0,2078.95,,7138.23,25492.14
64,1,HS,IT,Married,3,52885.09,8350.25,5425.96,2560.96,1385.18,608.84,0.0,11488.67,34553.89
37,2,Bachelor,Manufacturing,Married,1,33860.55,7567.7,1707.16,1597.16,1055.83,1079.79,1627.9,3673.43,19225.03
33,3,HS,Finance,Single,3,23757.73,7329.68,2481.61,300.0,1565.19,1897.93,0.0,2146.11,10183.32
61,2,HS,Healthcare,Single,0,31335.01,7553.83,3101.74,1459.71,200.0,1340.52,0.0,2576.7,17679.21
35,3,Master,Manufacturing,Single,3,35024.92,,3752.1,2837.4,1503.67,1385.02,0.0,4763.29,10757.59
21,1,HS,IT,Married,2,44963.96,,8072.47,2652.45,737.02,4314.29,5366.52,5059.84,19378.1
40,1,Bachelor,IT,Married,3,76544.23,15056.6,11502.49,4336.24,1815.54,3045.31,12777.39,12637.54,28010.65
56,2,HS,IT,Married,0,50373.97,6970.59,5366.81,3296.78,2457.86,4440.03,0.0,6369.86,27841.89
27,3,HS,Healthcare,Married,3,19573.54,5154.57,2557.0,1023.01,867.83,678.72,0.0,2569.54,9292.41
40,2,HS,Healthcare,Married,2,36501.68,5213.26,3201.85,3765.79,758.57,1199.53,8008.22,4145.08,14354.46
24,3,HS,Manufacturing,Single,2,16015.56,2769.73,1286.33,722.33,200.0,902.94,0.0,2230.28,10134.23
50,1,Bachelor,IT,Married,0,58123.41,10664.8,7176.81,4484.77,2129.55,3828.75,0.0,7842.33,29838.72
40,3,Master,Gov,Married,0,33408.07,7708.0,3012.65,2839.3,2325.63,1158.23,3019.75,4391.48,13344.52
33,2,HS,Manufacturing,Married,4,20097.81,4194.12,2219.2,1083.55,477.01,1852.25,3399.43,1917.18,6872.25
28,1,Master,Manufacturing,Married,2,33016.67,9194.2,2648.94,2667.91,1751.85,992.27,0.0,6073.9,15761.5
45,3,Bachelor,Manufacturing,Single,3,37704.36,5876.59,3855.89,1666.22,1291.04,2095.95,0.0,5718.22,22918.67
50,3,HS,IT,Single,0,33305.29,8126.92,4018.21,1533.94,1023.85,2245.41,0.0,4515.09,16356.96
63,2,HS,Retail,Married,1,36766.11,7615.68,4883.82,2663.27,1522.27,2556.46,0.0,5270.52,17524.61
38,1,HS,Healthcare,Married,1,31792.66,3306.34,2660.16,1715.5,1011.67,1244.18,3960.98,2932.57,17893.83
25,1,Master,IT,Married,0,52980.99,15182.6,8074.47,4735.2,2310.88,1225.91,0.0,7039.67,21451.93
57,3,Bachelor,Finance,Married,0,47490.43,8348.87,5279.0,4050.67,475.32,3628.15,0.0,1513.17,25708.43
48,2,HS,Healthcare,Married,0,36647.04,8388.07,3736.95,1674.9,604.43,1113.79,0.0,4273.99,21128.91
51,3,HS,Manufacturing,Married,0,25162.45,4147.23,2762.36,1130.86,1185.54,1825.02,3805.0,3075.52,10306.43
22,2,HS,Gov,Married,1,25443.91,9894.9,2659.03,789.24,1181.31,415.57,4312.53,3673.56,6191.33
32,3,Bachelor,Manufacturing,Married,0,27239.24,8637.09,2978.99,2369.69,740.25,1003.14,4680.27,4413.22,6829.81
54,1,HS,Retail,Married,1,27842.66,5313.48,3113.88,1620.16,1307.34,586.92,0.0,4392.13,15900.88
57,2,Bachelor,Finance,Married,1,59217.15,13998.9,6051.18,4861.96,3476.07,1652.5,3585.24,6205.47,25591.3
38,2,Bachelor,Healthcare,Single,1,37178.41,8821.67,5354.5,3310.4,203.79,416.43,1929.24,5966.7,17142.38
56,1,Bachelor,Manufacturing,Married,1,48586.75,6589.3,4925.13,3700.25,2164.81,3157.29,2398.26,5214.18,25651.71
58,1,HS,Gov,Single,0,43171.81,11146.13,2414.77,890.34,1264.72,857.47,0.0,5877.44,26598.38
36,2,Bachelor,Healthcare,Single,3,23163.61,5152.82,3517.79,2023.98,678.15,1603.65,2661.98,2900.08,7525.25
61,3,Bachelor,Healthcare,Married,0,36913.24,10507.11,4111.8,2276.24,2968.61,1497.67,0.0,5670.39,15551.8
31,2,Master,IT,Married,1,50654.47,10669.9,2990.69,2412.06,1786.04,2215.76,4968.5,8443.82,25611.52
29,1,Bachelor,Manufacturing,Married,3,26411.82,3989.56,1908.55,1442.21,1516.77,1553.91,0.0,2690.82,16000.82
50,3,Bachelor,Healthcare,Single,2,39545.57,6886.01,3714.04,1527.78,1542.56,2593.92,4425.69,3168.58,18855.58
48,1,HS,Finance,Single,2,37654.78,5535.41,4278.01,2052.18,1023.88,2664.43,1513.04,7089.67,20587.83
24,1,Bachelor,Retail,Married,2,27470.44,6285.59,800.0,796.35,540.23,2220.38,0.0,3432.35,16827.9
57,3,Bachelor,Manufacturing,Married,4,40930.45,10772.56,913.74,2776.42,1935.29,0.0,3412.52,4309.06,21119.92
27,3,Bachelor,Healthcare,Married,0,22286.81,3001.64,2289.45,1611.3,782.23,1358.14,2265.35,2117.53,10978.71
56,3,Bachelor,Manufacturing,Married,4,33636.25,8174.38,4742.35,3116.4,2465.67,206.35,0.0,4663.28,14931.1
18,3,Master,Healthcare,Married,3,19692.5,5188.25,2765.75,630.7,711.56,419.99,0.0,1855.15,9976.26
56,2,Master,IT,Married,0,53180.11,13137.05,3730.68,1350.64,1096.04,4168.92,5593.63,7278.39,24103.15
55,2,HS,Manufacturing,Married,0,38534.65,5336.3,4528.56,1114.92,2105.44,983.38,0.0,5669.45,24466.04
55,2,HS,Retail,Single,2,30631.8,9859.81,3585.23,1572.86,1162.42,1390.65,4321.03,4210.92,8739.79
49,3,Master,Finance,Single,3,47718.7,11499.65,5098.11,2226.24,1947.45,3238.5,0.0,6689.96,23708.75
40,3,Bachelor,Retail,Single,1,27562.04,3415.97,3765.34,1209.62,1237.71,641.5,0.0,2432.25,17291.91
51,2,PhD,Retail,Married,1,44622.19,8278.98,3441.79,3669.74,200.0,508.0,0.0,2921.19,28523.67
31,2,Bachelor,Finance,Married,0,29493.36,5418.33,3287.97,1967.55,2221.8,1724.7,3495.42,3170.0,11377.58
55,2,PhD,IT,Married,2,81148.08,16687.73,12861.57,4378.0,4700.72,2065.88,11685.28,12454.09,28768.9
44,2,HS,Retail,Married,1,34370.98,10580.75,3096.48,2453.35,1345.42,458.76,0.0,5317.6,16436.21
40,3,Bachelor,,Single,0,29723.18,6977.88,2554.94,957.0,1636.36,1911.44,1781.94,2537.55,13903.62
42,1,Bachelor,Finance,Married,3,38046.36,8038.89,4675.22,1699.67,1015.68,3911.62,0.0,6241.03,18705.29
45,2,HS,Gov,Married,0,44237.17,13910.35,4922.75,1784.11,2440.52,394.54,7380.13,3680.17,13404.76
19,3,HS,Finance,Married,1,15701.11,3914.24,800.0,904.97,634.63,625.49,2944.7,1106.59,5877.08
24,2,HS,Manufacturing,Single,2,13098.89,4542.22,1723.26,1106.57,200.0,28.18,0.0,999.67,5498.67
29,2,HS,Retail,Married,2,29994.93,6796.18,1908.72,1964.51,827.25,1597.17,0.0,5792.56,16901.1
23,2,Master,Finance,Married,0,33555.65,10632.9,4193.55,2374.72,1036.74,625.67,5308.03,3734.82,9384.05
39,1,PhD,Retail,Single,4,45224.18,4315.34,4363.25,3196.05,854.15,865.32,0.0,6849.41,31630.07
50,1,Master,IT,Married,0,90121.22,23871.78,8941.35,3988.96,6365.65,2524.41,0.0,11870.51,44429.07
49,1,PhD,Manufacturing,Single,2,82924.59,17371.63,8499.89,2665.59,,1690.8,0.0,12177.16,47321.19
40,1,Master,Gov,Single,1,45363.26,10745.63,3365.65,3718.07,911.72,1525.32,0.0,3717.16,25096.87
59,1,Master,,Single,0,86215.69,21208.78,11784.12,4717.91,1780.5,4546.76,0.0,1834.73,42177.63
45,2,HS,Retail,Married,0,36736.35,9544.03,3804.65,3136.18,1041.04,1002.02,6928.08,4024.0,11280.36
21,1,HS,Gov,Single,0,18666.92,5947.41,1686.23,1354.72,613.43,958.81,,1982.97,8106.31
54,3,Master,Retail,Single,0,39417.34,10021.14,5921.78,2354.47,200.0,2947.07,5150.13,6955.83,12822.74
45,1,Bachelor,Gov,Married,3,37493.58,8277.73,3664.93,4633.91,1283.04,1453.3,3239.66,3551.36,14941.02
48,2,Bachelor,Gov,Married,0,29683.12,7440.87,2212.15,1670.42,1946.64,142.69,201.64,6193.37,16068.71
45,3,Bachelor,IT,Married,1,48290.63,8059.73,6054.94,1333.06,2032.84,3910.91,12044.64,3743.46,14854.51
44,1,HS,Healthcare,Married,0,49231.92,16523.33,4084.48,2482.04,573.08,3228.59,,5178.92,22340.39
22,2,HS,Manufacturing,Single,0,26045.53,4721.33,3925.84,1431.43,217.7,1841.25,,2857.22,13907.97
44,3,Bachelor,Retail,Single,1,30220.98,8112.05,2741.21,1279.85,2268.13,866.34,3989.18,2468.68,10964.22
56,2,Bachelor,Retail,Single,3,34646.07,10250.67,2912.59,2205.66,1954.64,1706.64,5344.77,3134.85,10271.1
32,1,Bachelor,Finance,Single,0,49835.31,12771.18,3823.31,2102.3,2345.56,1579.86,0.0,3705.68,27213.1
46,3,Bachelor,Retail,Single,2,30339.91,5563.22,3051.96,3070.4,2249.55,2705.27,0.0,5306.9,13699.51
19,2,Bachelor,Manufacturing,Married,1,38866.27,6927.62,3438.77,2255.67,1620.5,1832.53,0.0,4954.96,22791.18
34,2,Bachelor,Healthcare,Single,0,24764.77,7172.72,2348.12,1223.84,1661.78,855.88,4164.67,831.49,7337.76
38,1,Bachelor,Manufacturing,Single,1,35637.49,8717.79,2084.69,2759.28,2533.66,2414.84,0.0,2714.09,17127.23
65,1,Bachelor,Manufacturing,Married,1,53220.84,10324.08,5855.36,3515.04,2533.81,2944.55,2963.83,9124.78,25084.18
28,3,,Retail,Married,3,27929.57,4809.19,3295.58,979.49,1505.41,1725.36,1914.24,2180.84,13700.31
31,2,Bachelor,Healthcare,Married,3,41614.04,7548.69,5357.21,2949.7,1681.68,2097.19,5576.3,3079.64,16403.27
37,1,PhD,Retail,Single,1,61127.86,14168.88,5047.29,1925.11,2104.79,2049.1,8379.49,5498.18,27453.2
65,2,Master,Retail,Married,0,47949.78,17513.57,5327.09,2996.97,1448.18,1376.13,0.0,4785.54,19287.84
58,3,Master,Retail,Married,1,42424.71,6251.42,5494.9,1405.66,1503.1,3675.07,0.0,5245.26,24094.56
19,1,Master,Retail,Married,3,29566.4,2377.25,3297.66,2331.57,1009.61,1847.1,2939.39,3652.33,15763.82
29,1,Bachelor,Gov,Single,2,34408.54,7645.6,2777.59,2663.29,1249.05,3447.59,0.0,5118.86,16625.42
57,2,Bachelor,IT,Married,0,65807.98,12027.12,8185.29,4217.95,2309.05,3532.47,0.0,5987.66,35536.09
20,2,Bachelor,Healthcare,Single,0,10949.03,2173.8,1540.59,579.65,408.83,501.29,1662.05,1550.73,4082.82
59,2,HS,IT,Married,0,48003.59,7301.31,5007.47,2682.34,3062.18,1868.27,6255.5,631.99,21826.53
31,3,HS,Manufacturing,Single,1,17589.89,5224.37,1953.17,575.77,200.0,891.68,0.0,2099.7,8744.89
62,1,HS,Retail,Married,0,36271.45,6938.69,2481.58,2551.7,1040.34,1574.63,0.0,2956.52,21684.52
32,2,Bachelor,Retail,Single,0,24864.77,6197.05,2137.95,1628.35,1412.98,2511.75,0.0,634.28,10976.68
38,2,HS,Healthcare,Single,1,20686.12,6498.05,2661.03,760.55,1306.62,930.46,0.0,2188.16,8529.4
49,2,Bachelor,Retail,Married,1,41400.88,8546.48,4168.15,2972.16,1497.19,0.0,0.0,5764.78,24216.9
24,2,HS,IT,Married,2,47869.58,8179.44,3525.1,4063.28,,0.0,0.0,4431.1,30886.22
44,3,HS,Gov,Married,1,25535.85,5412.82,3626.33,1408.81,200.0,1616.89,971.93,4239.11,12299.07
42,2,Bachelor,Finance,Single,2,55255.43,11826.82,7268.3,2364.58,200.0,3583.62,0.0,10430.64,30012.1
55,3,Master,IT,Married,0,51948.8,13076.3,4752.51,2676.39,2040.29,1760.82,0.0,4998.74,27642.49
65,1,Bachelor,IT,Single,1,86665.21,19086.76,15400.95,4203.66,5648.55,1752.4,9897.73,5347.89,30675.17
49,2,Master,Gov,Single,1,40505.03,9141.52,3464.9,2390.71,831.43,1634.39,3367.58,4954.48,19674.5
37,2,HS,Manufacturing,Married,3,23946.39,4605.52,1249.0,1266.49,1055.88,1458.24,0.0,2126.61,14311.27
37,2,Bachelor,Healthcare,Single,2,36558.71,,3490.97,1882.88,1530.48,492.56,2183.98,5313.81,18485.62
38,1,HS,Manufacturing,Single,2,44468.33,10664.79,2401.43,2545.53,1871.5,1281.43,,9397.23,25703.65
57,3,HS,IT,Married,3,46381.48,11740.63,5349.47,3215.4,2642.77,1852.8,5211.63,4505.5,16368.78
33,3,HS,IT,Single,0,39582.07,,5644.01,2297.35,1927.26,1101.0,3707.88,2815.23,20151.05
26,3,HS,IT,Married,2,18286.03,2722.92,1399.48,848.54,1692.07,1045.2,3547.26,2644.12,7030.55
34,3,Bachelor,Healthcare,Single,3,22134.81,2988.62,1938.19,1360.67,200.0,1002.15,0.0,2777.03,14645.18
19,1,Bachelor,Finance,Single,4,29915.98,8294.19,2537.65,1816.82,1163.87,0.0,0.0,1605.46,16103.45
23,2,HS,Manufacturing,Married,1,30183.65,4540.69,2694.97,2376.93,732.59,4421.14,0.0,1172.34,15417.33
22,2,Master,Manufacturing,Single,2,35631.21,6915.84,3429.79,1720.85,1925.76,2169.11,0.0,3040.71,19469.86
55,3,Bachelor,Healthcare,Married,0,28946.11,6336.81,2312.75,1669.88,1033.17,1929.3,0.0,3194.67,15664.2
52,1,HS,Retail,Married,1,34882.46,4632.79,4142.19,2874.69,1008.22,2002.42,6900.22,4360.14,13321.94
51,1,Bachelor,IT,Single,1,57008.45,10817.88,3875.54,3589.74,2790.01,2608.69,3766.85,7571.54,29559.74
40,2,HS,Manufacturing,Married,0,28982.96,10772.84,3129.06,920.82,1513.8,1583.17,0.0,1606.39,11063.27
52,1,Master,IT,Single,3,101066.94,22552.9,12636.53,9638.51,4553.45,8799.72,0.0,10761.55,42885.84
25,3,Bachelor,Gov,Married,3,20231.87,6623.34,1427.56,1181.5,943.51,1028.61,0.0,2207.44,9027.35
61,2,HS,Gov,Married,4,31794.04,6050.61,1665.17,2265.2,456.65,92.21,0.0,3494.62,21264.19
42,2,HS,,Married,0,32994.24,8517.94,2058.55,2329.8,1117.59,1737.5,0.0,5933.77,17232.85
63,3,HS,IT,Single,0,49054.99,9430.45,4305.51,3720.98,200.0,2749.59,0.0,7277.5,28648.46
25,2,Bachelor,IT,Married,2,35253.75,8281.58,2197.13,2648.77,1521.08,2191.92,2945.83,3872.36,15467.43
41,1,Bachelor,IT,Married,0,48938.39,13105.96,7105.66,4055.6,1098.63,3106.2,0.0,5836.85,20466.34
51,1,PhD,IT,Single,1,101262.44,19531.99,10049.21,4286.34,1039.01,9595.68,9350.92,9724.52,47409.29
41,1,HS,IT,Married,1,44789.07,11265.52,3538.0,3237.03,1518.33,3876.97,5747.13,2971.19,15606.08
39,1,HS,IT,Single,1,44818.62,8998.66,3442.51,1766.42,810.27,2177.02,0.0,5401.42,27623.74
25,2,HS,IT,Single,1,24503.01,5769.16,3058.84,946.64,880.49,444.46,0.0,2684.73,13403.42
36,2,Bachelor,Manufacturing,Single,0,21528.76,6046.1,2856.51,987.19,1090.41,1068.34,0.0,3901.72,9480.21
29,1,Bachelor,Finance,Single,0,52200.11,15864.8,4522.79,2663.58,2575.78,474.55,0.0,9356.67,26098.62
32,1,PhD,Manufacturing,Single,3,55286.62,15643.24,5885.88,3520.27,2909.57,0.0,0.0,4771.72,27327.65
50,3,Bachelor,Retail,Single,1,31038.23,6765.57,3570.9,1345.54,1686.34,2095.14,4193.76,2706.74,11380.98
48,1,HS,Manufacturing,Married,0,38384.89,11411.82,4366.61,2677.37,1493.49,598.67,0.0,3700.03,17836.93
47,2,Master,Finance,Single,0,51963.04,14289.07,6247.72,2742.74,2116.48,2535.23,5003.98,5096.67,19027.81
35,2,Master,Gov,Single,1,37122.44,7076.3,4893.81,2512.11,1824.7,7.77,5389.03,5424.24,15418.71
64,1,HS,Manufacturing,Married,0,50758.31,7974.86,6037.3,763.1,2746.3,3605.33,3492.22,9698.79,26139.21
22,3,Master,IT,Married,1,39181.71,4618.45,3337.47,1432.99,1392.83,449.57,0.0,7320.89,27950.41
34,1,Bachelor,Healthcare,Single,2,35165.33,11453.15,3188.06,2277.92,2290.29,3746.83,4385.04,5934.19,7824.05
23,2,Master,Finance,Married,0,49530.38,6283.62,2729.27,2934.97,2449.31,2922.43,5835.49,7340.79,26375.29
34,2,Bachelor,Manufacturing,Single,2,31221.98,,3301.16,3136.16,463.25,1449.22,0.0,5683.0,16418.91
64,3,HS,Retail,Married,0,29842.42,7261.79,3091.39,3118.37,385.93,2385.85,0.0,5777.78,13599.1
35,2,Master,Healthcare,Married,2,36997.93,5479.96,3172.74,728.49,978.28,891.79,0.0,2053.66,25746.66
61,3,Bachelor,Retail,Married,0,31805.93,10190.66,3465.03,1143.64,1020.45,2467.3,0.0,1785.47,13518.85
41,2,PhD,Manufacturing,Married,0,53051.5,19286.97,4615.35,2118.13,2402.5,2260.23,0.0,6949.8,22368.32
51,2,HS,IT,Married,0,36532.45,8335.51,2740.73,1172.37,2708.16,2286.77,3854.77,4114.02,15434.15
39,3,Bachelor,Manufacturing,Single,1,26624.26,5533.98,3648.06,1399.23,200.0,2018.2,0.0,2389.42,13824.79
30,2,Bachelor,Manufacturing,Single,2,25883.38,,2165.6,2043.54,793.79,0.0,3201.79,2230.15,13102.17
54,2,Bachelor,Retail,Married,1,35376.8,8600.09,3442.03,2458.28,2616.53,919.63,6286.36,4600.01,11053.88
64,1,Bachelor,Retail,Married,3,49034.89,4630.27,5886.26,3585.44,200.0,2599.33,0.0,5544.61,32133.59
30,2,Bachelor,Finance,Married,0,27524.38,6185.89,1915.31,1005.52,1690.93,456.86,4012.73,2667.31,12257.14
55,2,Bachelor,Gov,Single,1,48555.94,12810.95,5124.86,2319.73,2170.41,3550.22,3552.75,5366.51,19027.01
30,1,Bachelor,Finance,Married,1,44313.88,8120.6,3209.78,2426.43,1141.59,1316.53,29.81,1407.62,28069.14
52,2,HS,Gov,Single,0,187376.98,,4173.0,1933.69,2481.14,1307.05,350.84,4139.99,166982.16
55,1,Bachelor,IT,Single,1,75562.84,18873.96,12468.35,2219.54,2669.49,3838.76,0.0,9894.03,35492.74
39,2,Bachelor,Healthcare,Married,1,49259.53,11827.9,6378.58,1391.11,2712.32,4038.25,0.0,5145.13,22911.36
53,3,Master,Healthcare,Single,0,46819.58,9151.87,6449.25,2361.74,1718.48,4926.44,3485.64,3526.84,18726.17
31,2,Bachelor,Healthcare,Married,0,27976.8,7287.16,3258.23,1415.25,882.15,753.76,1739.78,1934.38,12640.46
21,2,Bachelor,Retail,Single,0,16923.73,2881.23,2575.25,911.09,305.3,1173.77,0.0,2224.09,9077.09
22,1,HS,Healthcare,Married,0,33120.32,5258.04,1300.71,1767.19,758.49,1976.97,0.0,3741.2,22058.91
39,1,HS,Healthcare,Single,1,35574.45,6412.77,3910.49,1756.25,1909.85,1943.5,5608.44,3452.7,14033.14
61,2,HS,Retail,Single,1,40949.78,9650.91,5290.61,2774.67,1813.49,1733.56,5597.18,3424.97,14089.37
24,3,Bachelor,Finance,Married,0,24874.64,,2288.87,943.1,919.4,494.9,3060.37,3255.95,14394.43
39,3,Master,Healthcare,Married,4,28974.35,4334.08,3470.65,2291.53,873.69,1962.92,4142.83,1665.38,11898.64
51,2,PhD,Retail,Married,1,42827.64,6547.2,3578.5,2086.53,1722.69,118.85,0.0,9862.84,28773.86
27,3,Bachelor,Finance,Single,0,45823.29,10475.56,6541.59,2589.18,2117.19,296.1,0.0,5797.41,23803.68
52,3,Bachelor,Finance,Married,0,53052.34,9055.15,5324.53,2784.52,1549.8,0.0,3358.9,6656.37,30979.44
